Formula,Frequency,Intensity
CH4,1248.441597,14.297
CH4,1248.441597,14.297
CH4,1248.441597,14.297
CH4,1461.833637,0.0
CH4,1461.833637,0.0
CH4,2896.284214,0.0
CH4,3037.705147,19.2247
CH4,3037.705147,19.2247
CH4,3037.705147,19.2247
CO,2163.184282,92.1015
CO2,654.4603029,35.1416
CO2,654.4603029,35.1416
CO2,1350.920196,0.0
CO2,2383.978051,752.5767
H2O,1524.372191,81.1162
H2O,3726.780867,8.8971
H2O,3831.661283,80.2733
PH3,971.1947791,16.1595
PH3,1092.256996,10.9619
PH3,1092.258045,10.9539
PH3,2286.594785,29.5327
PH3,2302.733169,51.4507
PH3,2302.734219,51.4588
SO2,1152.765967,32.4685
SO2,1320.280261,235.8244
NH3,522.9291764,14.3997
NH3,596.2048661,0.0038
NH3,1140.293523,214.7538
NH3,1280.836878,12.6109
NH3,2263.745702,434.6338
NH3,3406.297721,64.9845
